Ticker,AvgDailyVolume,Rows
KEL,21197474.903568394,2354
BOP,12821930.681818182,2354
CNERGY,12082500.940526763,2354
TRG,9501105.620220901,2354
PIBTL,7364732.982582837,2354
PAEL,7185143.182667799,2354
FFL,6621371.372390285,2347
MLCF,6159103.3870008495,2354
FCCL,5738065.5131690735,2354
PTC,4853626.456669499,2354
HUMNL,4841310.372340426,2350
SSGC,4600296.502973662,2354
LOTCHEM,4547536.008496176,2354
POWER,4145932.7162276977,2354
OGDC,4022069.982582838,2354
SNGP,3749456.4061172474,2354
PPL,3559849.3942226,2354
DGKC,3440329.4078164827,2354
HUBC,3044011.6886151233,2354
NBP,2333317.155904843,2354
SEARL,2121498.0246389126,2354
EFERT,2059038.1197960917,2354
HBL,1875303.8776550551,2354
BAFL,1831086.7934551637,2353
PSO,1783447.5977060322,2354
