max_depth,n_estimators,learning_rate,scale_pos_weight,roc_auc,accuracy,base_rate
2,50,0.05,1.0,0.5246,0.5363,0.4496
2,50,0.05,balanced,0.5196,0.5108,0.4496
2,50,0.1,1.0,0.5203,0.5291,0.4496
2,50,0.1,balanced,0.5168,0.5073,0.4496
2,100,0.05,1.0,0.5212,0.5323,0.4496
2,100,0.05,balanced,0.5158,0.5053,0.4496
2,100,0.1,1.0,0.515,0.5232,0.4496
2,100,0.1,balanced,0.5121,0.5062,0.4496
2,200,0.05,1.0,0.516,0.5242,0.4496
2,200,0.05,balanced,0.512,0.5042,0.4496
2,200,0.1,1.0,0.5108,0.5149,0.4496
2,200,0.1,balanced,0.509,0.5041,0.4496
3,50,0.05,1.0,0.5208,0.5346,0.4496
3,50,0.05,balanced,0.5159,0.5076,0.4496
3,50,0.1,1.0,0.5153,0.5252,0.4496
3,50,0.1,balanced,0.5128,0.5069,0.4496
3,100,0.05,1.0,0.5183,0.5285,0.4496
3,100,0.05,balanced,0.514,0.5072,0.4496
3,100,0.1,1.0,0.5131,0.519,0.4496
3,100,0.1,balanced,0.5095,0.5033,0.4496
3,200,0.05,1.0,0.5126,0.5182,0.4496
3,200,0.05,balanced,0.5095,0.5046,0.4496
3,200,0.1,1.0,0.5084,0.5124,0.4496
3,200,0.1,balanced,0.5062,0.5054,0.4496
5,50,0.05,1.0,0.5157,0.5261,0.4496
5,50,0.05,balanced,0.5128,0.5084,0.4496
5,50,0.1,1.0,0.5124,0.5183,0.4496
5,50,0.1,balanced,0.512,0.507,0.4496
5,100,0.05,1.0,0.5124,0.5194,0.4496
5,100,0.05,balanced,0.5104,0.5089,0.4496
5,100,0.1,1.0,0.5098,0.5148,0.4496
5,100,0.1,balanced,0.5093,0.5092,0.4496
5,200,0.05,1.0,0.5101,0.5136,0.4496
5,200,0.05,balanced,0.5084,0.5053,0.4496
5,200,0.1,1.0,0.5079,0.5139,0.4496
5,200,0.1,balanced,0.5073,0.5075,0.4496
