Ticker,Strategy,Annualised Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Turnover (trades/yr)
KEL,Momentum,44.9,0.785,0.948,-43.3,1.035,4.6
KEL,Mean Reversion,8.9,0.087,-0.126,-40.5,0.221,3.6
KEL,ARIMA,-27.7,-1.239,-1.069,-55.4,-0.5,50.7
KEL,XGBoost,6.4,-0.199,-0.194,-10.4,0.619,15.4
BOP,Momentum,54.1,0.964,1.188,-33.7,1.608,5.6
BOP,Mean Reversion,9.6,-0.008,-0.126,-28.3,0.34,3.6
BOP,ARIMA,30.1,0.623,0.563,-23.9,1.259,46.6
BOP,XGBoost,5.3,-0.259,-0.115,-17.7,0.298,5.1
CNERGY,Momentum,46.8,0.799,0.907,-31.2,1.497,5.6
CNERGY,Mean Reversion,11.0,0.104,-0.056,-31.1,0.352,3.6
CNERGY,ARIMA,-20.4,-2.147,-0.491,-38.2,-0.535,4.6
CNERGY,XGBoost,0.0,,,0.0,,0.0
TRG,Momentum,-13.4,-0.84,-0.672,-47.9,-0.279,4.6
TRG,Mean Reversion,-1.2,-0.17,-0.495,-41.0,-0.029,4.6
TRG,ARIMA,-18.9,-0.794,-1.254,-60.0,-0.315,76.3
TRG,XGBoost,-5.5,-0.576,-0.603,-41.6,-0.133,10.8
PIBTL,Momentum,8.1,0.094,-0.109,-42.7,0.19,6.7
PIBTL,Mean Reversion,27.5,0.554,0.725,-23.8,1.154,4.6
PIBTL,ARIMA,-6.7,-0.849,-0.505,-36.9,-0.182,36.4
PIBTL,XGBoost,21.7,0.476,0.328,-17.3,1.254,13.8
PAEL,Momentum,78.6,1.304,2.503,-31.4,2.505,5.6
PAEL,Mean Reversion,-5.9,-0.782,-0.861,-30.8,-0.191,1.5
PAEL,ARIMA,12.9,0.163,0.035,-46.6,0.278,73.8
PAEL,XGBoost,17.3,0.28,0.17,-25.0,0.691,9.2
FFL,Momentum,61.3,1.129,2.219,-22.3,2.744,7.7
FFL,Mean Reversion,33.0,0.815,1.152,-14.3,2.316,4.6
FFL,ARIMA,-0.6,-0.563,-0.443,-32.1,-0.018,35.9
FFL,XGBoost,24.2,0.592,0.497,-9.3,2.596,11.8
MLCF,Momentum,30.7,0.652,0.861,-30.4,1.012,6.7
MLCF,Mean Reversion,23.3,0.51,0.64,-16.0,1.454,3.6
MLCF,ARIMA,-19.5,-1.298,-1.513,-38.3,-0.509,85.0
MLCF,XGBoost,19.7,0.414,0.4,-17.9,1.104,9.7
FCCL,Momentum,60.4,1.27,2.524,-23.6,2.563,6.7
FCCL,Mean Reversion,25.8,0.612,0.813,-19.5,1.323,3.6
FCCL,ARIMA,2.1,-0.257,-0.461,-28.3,0.076,77.9
FCCL,XGBoost,3.1,-0.876,-0.541,-5.4,0.578,3.6
PTC,Momentum,70.2,1.126,1.877,-41.3,1.698,7.7
PTC,Mean Reversion,26.0,0.515,0.546,-19.1,1.367,4.6
PTC,ARIMA,58.1,1.161,1.682,-37.6,1.547,16.9
PTC,XGBoost,10.5,-0.115,-0.043,-7.3,1.444,3.6
HUMNL,Momentum,20.4,0.359,0.309,-29.4,0.692,8.2
HUMNL,Mean Reversion,22.7,0.477,0.654,-15.8,1.435,2.6
HUMNL,ARIMA,0.2,-0.237,-0.517,-29.4,0.006,62.5
HUMNL,XGBoost,-4.3,-1.352,-0.45,-19.0,-0.225,4.1
SSGC,Momentum,123.6,1.768,3.506,-32.1,3.851,6.7
SSGC,Mean Reversion,9.8,0.019,-0.147,-28.2,0.348,3.6
SSGC,ARIMA,16.2,0.255,0.16,-58.7,0.277,78.9
SSGC,XGBoost,51.3,1.226,0.746,-18.3,2.81,1.5
LOTCHEM,Momentum,-15.0,-1.068,-0.89,-42.5,-0.354,7.7
LOTCHEM,Mean Reversion,-12.9,-0.806,-0.978,-43.9,-0.295,2.6
LOTCHEM,ARIMA,-19.0,-0.958,-1.258,-53.5,-0.354,33.8
LOTCHEM,XGBoost,13.6,0.126,0.079,-13.5,1.013,5.1
POWER,Momentum,14.7,0.229,0.096,-39.4,0.373,7.7
POWER,Mean Reversion,10.4,0.022,-0.106,-26.7,0.392,2.6
POWER,ARIMA,1.8,-0.382,-0.284,-15.5,0.119,2.6
POWER,XGBoost,0.7,-1.574,-0.888,-10.1,0.069,4.6
OGDC,Momentum,32.4,0.628,0.755,-41.0,0.789,5.1
OGDC,Mean Reversion,28.4,0.744,1.202,-10.7,2.647,3.1
OGDC,ARIMA,20.8,0.381,0.447,-27.1,0.769,52.8
OGDC,XGBoost,4.0,-0.336,-0.297,-25.6,0.155,8.2
SNGP,Momentum,42.1,0.832,1.175,-27.3,1.542,7.7
SNGP,Mean Reversion,27.4,0.782,0.854,-12.8,2.14,4.1
SNGP,ARIMA,-7.9,-0.533,-0.854,-50.0,-0.158,114.7
SNGP,XGBoost,-2.0,-0.707,-0.4,-24.9,-0.08,7.2
PPL,Momentum,50.7,1.026,1.487,-24.1,2.101,6.1
PPL,Mean Reversion,15.7,0.225,0.22,-22.8,0.687,4.1
PPL,ARIMA,-15.3,-0.826,-1.267,-56.7,-0.27,95.3
PPL,XGBoost,25.5,0.717,0.525,-16.4,1.551,6.7
DGKC,Momentum,53.9,1.145,1.988,-17.6,3.071,4.6
DGKC,Mean Reversion,14.5,0.184,0.124,-22.0,0.66,4.6
DGKC,ARIMA,-5.5,-0.61,-0.852,-30.6,-0.181,75.8
DGKC,XGBoost,5.7,-0.276,-0.404,-16.0,0.356,8.7
HUBC,Momentum,32.7,0.756,0.943,-19.8,1.648,6.7
HUBC,Mean Reversion,14.1,0.163,0.07,-27.6,0.512,3.6
HUBC,ARIMA,-1.1,-0.389,-0.614,-26.6,-0.04,49.7
HUBC,XGBoost,6.0,-0.446,-0.279,-15.3,0.395,7.7
NBP,Momentum,23.3,0.438,0.416,-29.6,0.787,8.2
NBP,Mean Reversion,18.9,0.351,0.439,-26.4,0.716,4.1
NBP,ARIMA,35.3,0.762,0.987,-24.5,1.444,80.4
NBP,XGBoost,2.8,-0.56,-0.413,-15.2,0.186,12.3
SEARL,Momentum,23.1,0.426,0.411,-33.4,0.693,6.7
SEARL,Mean Reversion,1.0,-0.302,-0.478,-36.5,0.029,2.6
SEARL,ARIMA,-26.8,-1.689,-1.633,-55.1,-0.486,91.2
